HISTORICAL DATA FOR NYSE COMPOSITE INDEX (SYMBOL NYA) ,,,
DATE,CLOSING PRICE,TOTAL RETURN,MARKET CAP
7/17/1980,735.19,N/A,N/A
7/18/1980,738.47,N/A,N/A
7/21/1980,741.22,N/A,N/A
7/22/1980,739.53,N/A,N/A
7/23/1980,737.62,N/A,N/A
7/24/1980,736.78,N/A,N/A
7/25/1980,730.64,N/A,N/A
7/28/1980,734.13,N/A,N/A
7/29/1980,740.06,N/A,N/A
7/30/1980,739.63,N/A,N/A
7/31/1980,736.35,N/A,N/A
8/1/1980,734.24,N/A,N/A
8/4/1980,731.7,N/A,N/A
8/5/1980,731.28,N/A,N/A
8/6/1980,736.25,N/A,N/A
8/7/1980,746.51,N/A,N/A
8/8/1980,748.73,N/A,N/A
8/11/1980,755.49,N/A,N/A
8/12/1980,749.89,N/A,N/A
8/13/1980,747.35,N/A,N/A
8/14/1980,759.3,N/A,N/A
8/15/1980,762.05,N/A,N/A
8/18/1980,748.09,N/A,N/A
8/19/1980,743.54,N/A,N/A
8/20/1980,750.84,N/A,N/A
8/21/1980,762.05,N/A,N/A
8/22/1980,766.28,N/A,N/A
8/25/1980,761.63,N/A,N/A
8/26/1980,759.83,N/A,N/A
8/27/1980,752.32,N/A,N/A
8/28/1980,743.86,N/A,N/A
8/29/1980,745.77,N/A,N/A
9/2/1980,753.7,N/A,N/A
9/3/1980,768.82,N/A,N/A
9/4/1980,765.64,N/A,N/A
9/5/1980,762.68,N/A,N/A
9/8/1980,753.59,N/A,N/A
9/9/1980,757.5,N/A,N/A
9/10/1980,762.58,N/A,N/A
9/11/1980,768.08,N/A,N/A
9/12/1980,768.18,N/A,N/A
9/15/1980,769.24,N/A,N/A
9/16/1980,776.22,N/A,N/A
9/17/1980,788.48,N/A,N/A
9/18/1980,786.26,N/A,N/A
9/19/1980,791.02,N/A,N/A
9/22/1980,797.58,N/A,N/A
9/23/1980,791.44,N/A,N/A
9/24/1980,796.62,N/A,N/A
9/25/1980,787.21,N/A,N/A
9/26/1980,771.78,N/A,N/A
9/29/1980,753.48,N/A,N/A
9/30/1980,765.33,N/A,N/A
10/1/1980,775.79,N/A,N/A
10/2/1980,782.03,N/A,N/A
10/3/1980,790.28,N/A,N/A
10/6/1980,804.03,N/A,N/A
10/7/1980,799.9,N/A,N/A
10/8/1980,803.82,N/A,N/A
10/9/1980,800.64,N/A,N/A
10/10/1980,796.62,N/A,N/A
10/13/1980,806.56,N/A,N/A
10/14/1980,806.99,N/A,N/A
10/15/1980,816.71,N/A,N/A
10/16/1980,807.52,N/A,N/A
10/17/1980,802.76,N/A,N/A
10/20/1980,808.26,N/A,N/A
10/21/1980,803.39,N/A,N/A
10/22/1980,804.24,N/A,N/A
10/23/1980,789.75,N/A,N/A
10/24/1980,791.97,N/A,N/A
10/27/1980,780.55,N/A,N/A
10/28/1980,780.76,N/A,N/A
10/29/1980,780.34,N/A,N/A
10/30/1980,770.3,N/A,N/A
10/31/1980,777.49,N/A,N/A
11/3/1980,786.26,N/A,N/A
11/5/1980,799.8,N/A,N/A
11/6/1980,785.52,N/A,N/A
11/7/1980,786.16,N/A,N/A
11/10/1980,788.91,N/A,N/A
11/11/1980,798.95,N/A,N/A
11/12/1980,818.83,N/A,N/A
11/13/1980,830.88,N/A,N/A
11/14/1980,834.9,N/A,N/A
11/17/1980,838.71,N/A,N/A
11/18/1980,850.97,N/A,N/A
11/19/1980,847.7,N/A,N/A
11/20/1980,855.41,N/A,N/A
11/21/1980,847.7,N/A,N/A
11/24/1980,842.41,N/A,N/A
11/25/1980,849.28,N/A,N/A
11/26/1980,854.15,N/A,N/A
11/28/1980,856.68,N/A,N/A
12/1/1980,837.02,N/A,N/A
12/2/1980,834.37,N/A,N/A
12/3/1980,833.32,N/A,N/A
12/4/1980,831.1,N/A,N/A
12/5/1980,815.87,N/A,N/A
12/8/1980,794.3,N/A,N/A
12/9/1980,793.45,N/A,N/A
12/10/1980,780.13,N/A,N/A
12/11/1980,773.05,N/A,N/A
12/12/1980,784.15,N/A,N/A
12/15/1980,785.73,N/A,N/A
12/16/1980,791.66,N/A,N/A
12/17/1980,804.98,N/A,N/A
12/18/1980,807.83,N/A,N/A
12/19/1980,812.7,N/A,N/A
12/22/1980,824.12,N/A,N/A
12/23/1980,820.94,N/A,N/A
12/24/1980,824.22,N/A,N/A
12/26/1980,827.71,N/A,N/A
12/29/1980,818.83,N/A,N/A
12/30/1980,820.31,N/A,N/A
12/31/1980,823.27,N/A,N/A
1/2/1981,827.5,N/A,N/A
1/5/1981,836.17,N/A,N/A
1/6/1981,836.81,N/A,N/A
1/7/1981,817.24,N/A,N/A
1/8/1981,805.72,N/A,N/A
1/9/1981,808.26,N/A,N/A
1/12/1981,809.1,N/A,N/A
1/13/1981,807.3,N/A,N/A
1/14/1981,809.42,N/A,N/A
1/15/1981,814.07,N/A,N/A
1/16/1981,817.67,N/A,N/A
1/19/1981,815.23,N/A,N/A
1/20/1981,799.48,N/A,N/A
1/21/1981,797.15,N/A,N/A
1/22/1981,790.49,N/A,N/A
1/23/1981,790.07,N/A,N/A
1/26/1981,787.21,N/A,N/A
1/27/1981,795.04,N/A,N/A
1/28/1981,790.7,N/A,N/A
1/29/1981,789.75,N/A,N/A
1/30/1981,785.31,N/A,N/A
2/2/1981,768.39,N/A,N/A
2/3/1981,776.96,N/A,N/A
2/4/1981,778.65,N/A,N/A
2/5/1981,785.73,N/A,N/A
2/6/1981,791.23,N/A,N/A
2/9/1981,782.98,N/A,N/A
2/10/1981,782.24,N/A,N/A
2/11/1981,776.85,N/A,N/A
2/12/1981,772.41,N/A,N/A
2/13/1981,769.77,N/A,N/A
2/17/1981,774.21,N/A,N/A
2/18/1981,778.12,N/A,N/A
2/19/1981,766.91,N/A,N/A
2/20/1981,766.07,N/A,N/A
2/23/1981,770.19,N/A,N/A
2/24/1981,770.93,N/A,N/A
2/25/1981,776.75,N/A,N/A
2/26/1981,786.58,N/A,N/A
2/27/1981,794.4,N/A,N/A
3/2/1981,799.16,N/A,N/A
3/3/1981,791.23,N/A,N/A
3/4/1981,792.82,N/A,N/A
3/5/1981,787.85,N/A,N/A
3/6/1981,787.32,N/A,N/A
3/9/1981,793.98,N/A,N/A
3/10/1981,790.17,N/A,N/A
3/11/1981,788.06,N/A,N/A
3/12/1981,806.46,N/A,N/A
3/13/1981,806.99,N/A,N/A
3/16/1981,816.19,N/A,N/A
3/17/1981,812.17,N/A,N/A
3/18/1981,814.07,N/A,N/A
3/19/1981,810.37,N/A,N/A
3/20/1981,815.13,N/A,N/A
3/23/1981,824.86,N/A,N/A
3/24/1981,819.68,N/A,N/A
3/25/1981,833.42,N/A,N/A
3/26/1981,829.3,N/A,N/A
3/27/1981,820.42,N/A,N/A
3/30/1981,817.98,N/A,N/A
3/31/1981,827.61,N/A,N/A
4/1/1981,831.31,N/A,N/A
4/2/1981,830.78,N/A,N/A
4/3/1981,826.23,N/A,N/A
4/6/1981,817.24,N/A,N/A
4/7/1981,817.35,N/A,N/A
4/8/1981,819.99,N/A,N/A
4/9/1981,822.64,N/A,N/A
4/10/1981,822.42,N/A,N/A
4/13/1981,813.54,N/A,N/A
4/14/1981,809.84,N/A,N/A
4/15/1981,819.04,N/A,N/A
4/16/1981,822.21,N/A,N/A
4/20/1981,826.55,N/A,N/A
4/21/1981,819.04,N/A,N/A
4/22/1981,818.51,N/A,N/A
4/23/1981,818.2,N/A,N/A
4/24/1981,825.28,N/A,N/A
4/27/1981,827.18,N/A,N/A
4/28/1981,819.99,N/A,N/A
4/29/1981,812.49,N/A,N/A
4/30/1981,812.17,N/A,N/A
5/1/1981,811.53,N/A,N/A
5/4/1981,798.53,N/A,N/A
5/5/1981,796.2,N/A,N/A
5/6/1981,799.37,N/A,N/A
5/7/1981,804.45,N/A,N/A
5/8/1981,804.98,N/A,N/A
5/11/1981,793.56,N/A,N/A
5/12/1981,799.37,N/A,N/A
5/13/1981,798.95,N/A,N/A
5/14/1981,803.82,N/A,N/A
5/15/1981,809.31,N/A,N/A
5/18/1981,811.32,N/A,N/A
5/19/1981,808.57,N/A,N/A
5/20/1981,809.21,N/A,N/A
5/21/1981,808.26,N/A,N/A
5/22/1981,806.35,N/A,N/A
5/26/1981,814.71,N/A,N/A
5/27/1981,820.31,N/A,N/A
5/28/1981,818.83,N/A,N/A
5/29/1981,814.07,N/A,N/A
6/1/1981,813.23,N/A,N/A
6/2/1981,802.44,N/A,N/A
6/3/1981,802.23,N/A,N/A
6/4/1981,803.82,N/A,N/A
6/5/1981,811.32,N/A,N/A
6/8/1981,811.64,N/A,N/A
6/9/1981,809.31,N/A,N/A
6/10/1981,811.85,N/A,N/A
6/11/1981,820.84,N/A,N/A
6/12/1981,820.52,N/A,N/A
6/15/1981,821.05,N/A,N/A
6/16/1981,812.06,N/A,N/A
6/17/1981,817.77,N/A,N/A
6/18/1981,807.83,N/A,N/A
6/19/1981,811.53,N/A,N/A
6/22/1981,809.84,N/A,N/A
6/23/1981,818.62,N/A,N/A
6/24/1981,814.18,N/A,N/A
6/25/1981,815.34,N/A,N/A
6/26/1981,813.86,N/A,N/A
6/29/1981,809.74,N/A,N/A
6/30/1981,805.19,N/A,N/A
7/1/1981,796.94,N/A,N/A
7/2/1981,790.17,N/A,N/A
7/6/1981,782.35,N/A,N/A
7/7/1981,786.58,N/A,N/A
7/8/1981,787.74,N/A,N/A
7/9/1981,793.66,N/A,N/A
7/10/1981,794.62,N/A,N/A
7/13/1981,795.99,N/A,N/A
7/14/1981,795.78,N/A,N/A
7/15/1981,799.37,N/A,N/A
7/16/1981,800.43,N/A,N/A
7/17/1981,803.18,N/A,N/A
7/20/1981,791.34,N/A,N/A
7/21/1981,788.69,N/A,N/A
7/22/1981,781.4,N/A,N/A
7/23/1981,782.56,N/A,N/A
7/24/1981,788.8,N/A,N/A
7/27/1981,796.41,N/A,N/A
7/28/1981,792.4,N/A,N/A
7/29/1981,792.5,N/A,N/A
7/30/1981,797.37,N/A,N/A
7/31/1981,803.07,N/A,N/A
8/3/1981,800.43,N/A,N/A
8/4/1981,804.03,N/A,N/A
8/5/1981,813.23,N/A,N/A
8/6/1981,814.18,N/A,N/A
8/7/1981,809.74,N/A,N/A
8/10/1981,813.12,N/A,N/A
8/11/1981,821.05,N/A,N/A
8/12/1981,818.62,N/A,N/A
